;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/18/2017 8:11:27 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x158A      	BSF        PCLATH, 3
0x0001	0x2800      	GOTO       2048
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00DB      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00DC      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00A0      	MOVWF      32
;demo_simple_8.c,141 :: 		void interrupt(){
;demo_simple_8.c,142 :: 		if (TMR2IF_bit){
0x000D	0x1C8C      	BTFSS      TMR2IF_bit, 1
0x000E	0x2865      	GOTO       L_interrupt0
;demo_simple_8.c,143 :: 		if (mode == mode_inverter){
0x000F	0x0862      	MOVF       _mode, 0
0x0010	0x3A00      	XORLW      0
0x0011	0x1D03      	BTFSS      STATUS, 2
0x0012	0x284A      	GOTO       L_interrupt1
;demo_simple_8.c,144 :: 		if (MOSdriveState){
0x0013	0x0822      	MOVF       _MOSdriveState, 0
0x0014	0x1903      	BTFSC      STATUS, 2
0x0015	0x2847      	GOTO       L_interrupt2
;demo_simple_8.c,146 :: 		if (MOSdriveState == drvMOS1){
0x0016	0x0822      	MOVF       _MOSdriveState, 0
0x0017	0x3A01      	XORLW      1
0x0018	0x1D03      	BTFSS      STATUS, 2
0x0019	0x281C      	GOTO       L_interrupt3
;demo_simple_8.c,147 :: 		duty = duty_buffer;
0x001A	0x0827      	MOVF       _duty_buffer, 0
0x001B	0x00AB      	MOVWF      _duty
;demo_simple_8.c,148 :: 		}
L_interrupt3:
;demo_simple_8.c,150 :: 		dutyCounter++;
0x001C	0x0A29      	INCF       _dutyCounter, 0
0x001D	0x00F0      	MOVWF      R0
0x001E	0x0870      	MOVF       R0, 0
0x001F	0x00A9      	MOVWF      _dutyCounter
;demo_simple_8.c,152 :: 		if (dutyCounter == duty){
0x0020	0x0829      	MOVF       _dutyCounter, 0
0x0021	0x062B      	XORWF      _duty, 0
0x0022	0x1D03      	BTFSS      STATUS, 2
0x0023	0x2826      	GOTO       L_interrupt4
;demo_simple_8.c,153 :: 		MOS1 = 0;
0x0024	0x1307      	BCF        RC6_bit, 6
;demo_simple_8.c,154 :: 		MOS2 = 0;
0x0025	0x1287      	BCF        RC5_bit, 5
;demo_simple_8.c,155 :: 		}
L_interrupt4:
;demo_simple_8.c,157 :: 		if (dutyCounter == period){
0x0026	0x0829      	MOVF       _dutyCounter, 0
0x0027	0x062A      	XORWF      _period, 0
0x0028	0x1D03      	BTFSS      STATUS, 2
0x0029	0x2846      	GOTO       L_interrupt5
;demo_simple_8.c,158 :: 		dutyCounter = 0;
0x002A	0x01A9      	CLRF       _dutyCounter
;demo_simple_8.c,159 :: 		if (MOSdriveState == drvMOS1){
0x002B	0x0822      	MOVF       _MOSdriveState, 0
0x002C	0x3A01      	XORLW      1
0x002D	0x1D03      	BTFSS      STATUS, 2
0x002E	0x2839      	GOTO       L_interrupt6
;demo_simple_8.c,160 :: 		MOS2 = 0;
0x002F	0x1287      	BCF        RC5_bit, 5
;demo_simple_8.c,161 :: 		delay_us(1);
0x0030	0x0000      	NOP
0x0031	0x0000      	NOP
0x0032	0x0000      	NOP
0x0033	0x0000      	NOP
0x0034	0x0000      	NOP
;demo_simple_8.c,162 :: 		MOS1 = 1;
0x0035	0x1707      	BSF        RC6_bit, 6
;demo_simple_8.c,164 :: 		MOSdriveState = drvMOS2;
0x0036	0x3002      	MOVLW      2
0x0037	0x00A2      	MOVWF      _MOSdriveState
